num_individuals,adjoint_mise,gradient_mise,adjoint_execution_seconds,gradient_execution_seconds,simulation_seconds,iteration_seconds,num_trials
1,13.000171969487692,7.916075565540237,0.04344343339907937,0.03825004999525845,9.376680245622992e-05,0.08180970841203816,5
4,7.451155984407994,5.459701216968979,0.03282930820714682,0.02884164180723019,8.545839809812606e-05,0.06177293340442702,5
12,3.2218274219751377,2.848369579267157,0.025087466603145002,0.018864316603867337,7.96416075900197e-05,0.04404482520185411,5
43,1.0283051453002177,0.9969182615249542,0.04823248320026323,0.029682791605591775,8.504139841534198e-05,0.07801392499823123,5
152,0.2947168586273475,0.2927620810347062,0.09107983319554477,0.06323147480143235,9.929159423336387e-05,0.1544241751951631,5
534,0.09181255119004808,0.09314692918792321,0.11638761680806056,0.10648668340290897,0.0001583083998411894,0.22304834160604514,5
1874,0.028370846814108445,0.02713261102723625,0.09257178339757957,0.08385793339693919,0.00033490839414298537,0.1767838334024418,5
6579,0.01797126107270553,0.017869796488635004,0.12434310019598342,0.10758994981297292,0.0010365582013037056,0.23299296640325337,5
23101,0.011891456415286696,0.011870431375606127,0.2506573829916306,0.23777376660727895,0.0031763750012032688,0.49169182499754244,5
81113,0.011442199239703809,0.011437108839783036,0.76028290000977,0.7404288247984369,0.010705933393910527,1.511445650004316,5
284804,0.010916556054897577,0.010915001277406595,2.5972408081928733,2.5955598413944245,0.04484464980778284,5.238328825199278,5
1000000,0.010269726001141703,0.010269334814986047,8.698502316401573,8.695312749798177,0.17381828319630585,17.570359108195408,5
