num_individuals,fixed_mise,jump_mise,fixed_execution_seconds,jump_execution_seconds
100,30.982800964189654,2.5175699284363784,0.11528741700021783,0.03005004199803807
200,22.48096680805544,1.1320752561485428,0.13964100000157487,0.02837720800016541
300,19.522184590777673,0.26988913663131997,0.12166483300097752,0.033686375005345326
400,13.63405791653534,0.7603938480623036,0.1373937919997843,0.03675337499589659
500,14.896264773942422,1.1958818832424658,0.1300134999983129,0.03872095800034003
600,15.069018655624713,0.676754024933054,0.14381566700467374,0.045400083996355534
700,12.458372605688883,0.5524715622220105,0.1395282919984311,0.046837000001687557
800,12.30774992943025,0.38155517793182925,0.15358687499974621,0.045816708996426314
900,9.668564801819295,0.39620911826125005,0.1601797080002143,0.05376437499944586
1000,11.276873753930422,0.31285846670092404,0.17004574999737088,0.055005041998811066
1100,9.194988580368037,0.3609686657831466,0.16986137499770848,0.04519920800521504
1200,8.973587944890616,0.26984894113526187,0.199846792005701,0.06826512499537785
1300,13.987806250819785,0.311777410205579,0.1804772920004325,0.05535120800050208
1400,7.136670798624898,0.28855658745666535,0.2186926249996759,0.05845195900474209
1500,16.77005266530908,0.2088372837328818,0.1601568749974831,0.06260258299880661
1600,7.630777826276075,0.33857779290606455,0.24797533299715724,0.07803058300487464
1700,12.364361356161908,0.18210216219022732,0.20186883299902547,0.06861529200250516
1800,8.626722869445947,0.11604818863656398,0.18369045900180936,0.07289954100269824
1900,6.632974716385276,0.15205298786377494,0.26537479200487724,0.06721687499521067
2000,9.74395422000448,0.17273665751410258,0.26735683300648816,0.08005962499737507
2100,8.393248455662793,0.2365629421185673,0.298515333000978,0.07361049999599345
2200,8.667387616230954,0.16844711638592624,0.3480252500012284,0.08001958299428225
2300,11.286017257601209,0.20982488614141034,0.22454479199950583,0.08802216700132703
2400,11.94058216328092,0.27098816448620483,0.20404449999477947,0.09662362500239396
2500,7.61853530020901,0.31478064531572136,0.23936120799771743,0.08788116699724924
2600,4.659718469162572,0.20534929352678977,0.2910794999988866,0.09023375000106171
2700,4.954518448713718,0.2096700112095379,0.238985625001078,0.09414174999983516
2800,6.977794349189417,0.3714795099121442,0.24867004199768417,0.0938289999976405
2900,7.092397365341584,0.207063906700559,0.30423108299874,0.1113884579972364
3000,8.100365136184069,0.14281369675479041,0.2868809589999728,0.09981687500112457
3100,6.7906603973674935,0.17240141441902965,0.2667097079975065,0.09166691699647345
3200,6.507956632488003,0.11036422119935187,0.3370519999953103,0.10232558299321681
3300,3.9043065650316024,0.13028796816122462,0.3224947500057169,0.10560320800141199
3400,6.255599403251096,0.13973961727122883,0.30253724999784026,0.11134616700292099
3500,7.440985690917837,0.20086598592633922,0.3467856670031324,0.11558000000513857
3600,8.708986287472033,0.1759571348579267,0.34125937500357395,0.10319116699974984
3700,4.650526846654837,0.1317032229607921,0.38253420800174354,0.12136224999994738
3800,8.105495183983404,0.12252496638543033,0.31133266699907836,0.1128514579977491
3900,5.16521738460142,0.19202398725574152,0.36237987500499,0.12001766599860275
4000,4.472112299411961,0.1427170558406935,0.3224189170068712,0.12245687500399072
4100,3.438396527954412,0.10506554231054388,0.3819527500018012,0.12760504199832212
4200,6.941705889589207,0.16080399430949707,0.3544570419981028,0.13118704099906608
4300,9.707038526682584,0.19362894743037443,0.315541582996957,0.12804745800531236
4400,4.765225580132291,0.18806814410291958,0.4356981250020908,0.12833337499614572
4500,4.629266101219392,0.0961283394973493,0.4229532089957502,0.137975291996554
4600,10.16217963290136,0.1131278391514351,0.327517292003904,0.14394420800090302
4700,5.8887233744153376,0.10367413381183332,0.4578669580005226,0.1422524160007015
4800,3.1610285268142397,0.18246469562161072,0.452367541998683,0.12887133299955167
4900,5.906677325439394,0.15085753003454644,0.4209659999978612,0.1500265409995336
5000,6.928546847329778,0.10496806099530544,0.3661428330015042,0.13223275000200374
5100,3.674857405516162,0.21257494922710957,0.4662831250025192,0.14043533299991395
5200,5.165605439083968,0.12550259900322377,0.4517942500024219,0.14899933299602708
5300,5.0765880289307255,0.07802935001062655,0.38982387500436744,0.16195120900374604
5400,5.121533809838856,0.13708364209956683,0.44537991599645466,0.15716187500220258
5500,3.8569598970821715,0.1551324271338827,0.5064790410033311,0.1467431659984868
5600,3.1708339785361,0.15363503329824607,0.5290421669997158,0.16150316599669168
5700,4.331881079918203,0.1287563832234101,0.5164787920002709,0.15349158399476437
5800,6.813073176985672,0.10712722994236548,0.48353470800066134,0.15792437499476364
5900,7.432129482217827,0.17104579660994884,0.5709680420040968,0.16385658299986972
6000,4.522701356376056,0.13576376081004213,0.5044867500037071,0.17451775000517955
6100,2.2474973244411744,0.10136304560579121,0.5886252080017584,0.16387366699927952
6200,3.890577315556961,0.1417365352217704,0.5965186660032487,0.17123687499406515
6300,4.036879845949924,0.14823650912926298,0.4545023329992546,0.16911366699787322
6400,2.1681479220317827,0.10640910467642169,0.4218443749996368,0.17866437500197208
6500,6.002072946129274,0.127763134599345,0.45344841699989047,0.1707197920040926
6600,2.0593416323370324,0.16225229399291008,0.47071412499644794,0.175261500000488
6700,1.924141217551136,0.1334003584344207,0.5837395830021705,0.19793345800280804
6800,3.6191456122402417,0.07947642436761994,0.6229998330018134,0.18730695800331887
6900,5.14396911573144,0.10234272087070312,0.7421828340011416,0.17620937500032596
7000,3.3698945079239007,0.11788791613049258,0.6345834590028971,0.17921637499966891
7100,5.628377559255205,0.11109073937277293,0.6821890830033226,0.26702649999788264
7200,7.0717537541305475,0.12019783810780454,0.687801958003547,0.180322125001112
7300,5.277833579304884,0.08224916445750607,0.7208463339993614,0.19992737499705981
7400,5.506738520284591,0.11200963168139942,0.7292825839977013,0.19250024999928428
7500,4.189678721114316,0.08519815986392176,0.7530059580021771,0.19955287499760743
7600,4.290910411015359,0.11543640875304356,0.7505448750016512,0.19873016700148582
7700,3.1956384745440807,0.11362681531992458,0.5626810409958125,0.18919916699815076
7800,2.944284935902785,0.10561215442335337,0.6937888340034988,0.19896141599747352
7900,4.982829316889002,0.12413096274937466,0.764044333001948,0.2022568329994101
8000,2.5721011728053815,0.08406598943259669,0.6905054160015425,0.20604300000559306
8100,6.378644190164596,0.09747760450624891,0.7770680829999037,0.21412645899545169
8200,6.3858665909598695,0.082635283507041,0.8713748330046656,0.2109831660054624
8300,5.442587451708337,0.12202033336664858,0.7631439999968279,0.21323400000255788
8400,2.7400446792362994,0.16036773795728101,0.6453511669969885,0.20197237499814946
8500,4.204352791346398,0.10971498203032,0.7784800410008756,0.20298716699471697
8600,3.2299236088436154,0.08696087141466394,0.8037712919976912,0.25496558300073957
8700,2.8925886839593087,0.1041082641073922,0.6182105420011794,0.21314841700223042
8800,5.642075259163574,0.10570124017723263,0.7287100410030689,0.21378099999856204
8900,2.4673902085800465,0.1579695219015644,0.8635099159946549,0.23918770800082712
9000,6.468110563768839,0.08142635771045338,0.8584675829988555,0.21009549999871524
9100,4.004595028422055,0.0711167057467361,0.8206216670005233,0.22807462499622488
9200,5.126276080617509,0.057547527162138214,0.8192691250005737,0.21004199999879347
9300,4.18691587737762,0.08153262583400381,0.932503625001118,0.24022362499817973
9400,1.714952974140842,0.13200586727015945,0.6045446669959347,0.2328300000008312
9500,4.4486423896360545,0.08859052934578336,0.906443958003365,0.23088216700125486
9600,3.049885785550979,0.11437223390110668,0.9341375000003609,0.2451948750021984
9700,5.485434715745281,0.1178986107403395,0.8622015830042074,0.2427724999943166
9800,7.893274271075277,0.12621117684174524,0.9571944170020288,0.24063891600235365
9900,6.646220706606554,0.08342380784956245,0.8896877080042032,0.24461416700069094
10000,4.031689781481876,0.10650621129839792,0.9378195829995093,0.24476658400089946
10100,3.6259081411318137,0.0996108384305996,1.0267763750016456,0.2583740830013994
10200,3.107191251654883,0.11782675587506539,0.9514372500052559,0.24019058399426285
10300,2.609601011531775,0.10461637745392548,0.9523671249990002,0.2452013750007609
10400,3.1630798107036835,0.10685610549432147,1.2487548749995767,0.2799724590004189
10500,2.609855656697164,0.10388158869215278,1.0236905420024414,0.24777787499624537
10600,3.93661804384367,0.09534298083006856,1.028421167000488,0.26265075000264915
10700,2.453594918005136,0.08739611073256624,0.9068282910011476,0.2359136250015581
10800,1.9705579788501486,0.09501958497243931,0.9866106670015142,0.2628930419959943
10900,3.1195650604432466,0.09630870024784831,1.0245567500023753,0.24545045899867546
11000,3.302536287004634,0.1029438284101262,1.0712691250009811,0.277447000000393
11100,2.654168317800212,0.06437201277967666,1.1146946660010144,0.25952583299658727
11200,3.0287523679473107,0.06841044470946503,1.06553087499924,0.2686360420048004
11300,4.157537759833423,0.07528689823763246,1.1355839169991668,0.27681483299966203
11400,4.637966183270227,0.07458249578358386,1.2102293749994715,0.27715395899576833
11500,2.4058122679253393,0.0867946597097523,1.1040655420001713,0.27559574999759207
11600,2.715825773786746,0.10395722318216984,1.1296224170000642,0.25986974999977974
11700,3.1621205882488637,0.08595335623853925,1.2078522079973482,0.27366979199723573
11800,2.9374381741545976,0.11069145776327356,1.0826878750012838,0.2658984169975156
11900,2.6807010508792217,0.08289665738047958,1.2108929579990217,0.28548787500039907
12000,2.9425206805774193,0.10458036327151794,1.2704332090070238,0.289274334005313
12100,2.9399450736344206,0.09520896544850914,1.3324120420002146,0.3235347500012722
12200,3.9017799762797654,0.08015435359044035,1.2488731250050478,0.2808520420003333
12300,2.815894648769039,0.0716481642283037,1.1802002499971422,0.30386100000032457
