num_individuals,adjoint_mise,gradient_mise,adjoint_execution_seconds,gradient_execution_seconds
500,0.08247770218733122,0.07419489943661266,0.06524454199825414,0.04569912501028739
1000,0.05649842144601724,0.052161818073424966,0.14754091697977856,0.09511708401259966
1500,0.01575432327780878,0.015038971931561087,0.22177499998360872,0.15553195800748654
2000,0.01769695192336877,0.01717541755231972,0.25779379199957475,0.18259429198224097
2500,0.019357581983136606,0.01871688862758707,0.3495433329953812,0.2920415840053465
3000,0.014518947636806735,0.01410248266356756,0.45624408399453387,0.3269345829903614
3500,0.010163305750101473,0.009958443647424703,0.37213845798396505,0.2718065830122214
4000,0.01736295680775317,0.017158838511905222,0.41795645898673683,0.32176037499448285
4500,0.012371538690361773,0.011996146850415241,0.6296433749957941,0.45955183301703073
5000,0.008725980935927578,0.0085506762840756,0.6037798330071382,0.47788941700127907
5500,0.008287318229057226,0.008077681209905175,1.0051458749803714,0.8160437910119072
6000,0.010309403148895804,0.010204019978811216,0.9548522499972023,0.874446458008606
6500,0.007123132350771325,0.006994880890829983,0.8347550829930697,0.6403548340022098
7000,0.005144395854475848,0.005002119100715731,1.147753917000955,1.1784612920018844
7500,0.007863915925950317,0.007674504074731019,0.9671582079899963,0.8318190420104656
8000,0.00579981783958893,0.005734282562423082,1.6052480000071228,1.3698446250054985
8500,0.004347407370688465,0.0042142007351515555,1.2344504579959903,1.1006460830103606
9000,0.003745966052767153,0.0036778946049875034,1.1268326659919694,1.1848703330033459
9500,0.004487356674032539,0.004464896357767044,1.3885997500037774,1.2613198749895673
10000,0.00646622049514146,0.0031334905419591295,0.4729943340062164,1.627569875010522
