num_individuals,adjoint_mise,gradient_mise,adjoint_execution_seconds,gradient_execution_seconds,simulation_seconds,iteration_seconds
1,1.0351118605675462,1.0350325159547598,0.019851958990329877,0.011287458008155227,9.600000339560211e-05,0.03125479200389236
4,5.4633374284542064,4.3622305885912285,0.024237042001914233,0.02391391701530665,9.849999332800508e-05,0.048268500017002225
12,3.232938907516901,2.5461961358364644,0.025669416005257517,0.020869084022706375,9.154097642749548e-05,0.04664650000631809
43,0.8643453212238384,0.8322242825722944,0.05464474999462254,0.0326633749937173,9.004099410958588e-05,0.08741629202268086
152,0.29179242304532715,0.2901787008498103,0.08051166697987355,0.05327475001104176,9.675000910647213e-05,0.13389575001201592
534,0.08476651171561889,0.08674892885683372,0.08639758301433176,0.09499408397823572,0.00014608300989493728,0.18155195799772628
1874,0.028186217838213314,0.026290146383011994,0.09593820801819675,0.1233311669784598,0.00031870900420472026,0.21960558299906552
6579,0.014369800942302325,0.014258180749643272,0.12207804198260419,0.10621220798930153,0.0010381669853813946,0.2293454579776153
23101,0.012824026751484979,0.012804779864810496,0.2487447499879636,0.2337577500147745,0.0033104169997386634,0.48589291601092555
81113,0.01143301365090704,0.011427420294975447,0.85162400000263,0.8465306659927592,0.010992875002557412,1.709174458985217
284804,0.012051889793220062,0.012050162886000927,2.548252375010634,2.60262262498145,0.04493179198470898,5.19681241697981
1000000,0.010297762094041806,0.010297330225516144,9.654453291004756,9.23137824999867,0.17622129200026393,19.064008290995844
